PassengerId,A,B,C,D,E,F
892,3,1,34.5,0,0,1
893,3,0,47,1,0,1
894,2,1,62,0,0,1
895,3,1,27,0,0,1
896,3,0,22,1,1,1
897,3,1,14,0,0,1
898,3,0,30,0,0,1
899,2,1,26,1,1,1
900,3,0,18,0,0,1
901,3,1,21,2,0,1
902,3,1,30,0,0,1
903,1,1,46,0,0,1
904,1,0,23,1,0,1
905,2,1,63,1,0,1
906,1,0,47,1,0,1
907,2,0,24,1,0,1
908,2,1,35,0,0,1
909,3,1,21,0,0,1
910,3,0,27,1,0,1
911,3,0,45,0,0,1
912,1,1,55,1,0,1
913,3,1,9,0,1,1
914,1,0,30,0,0,1
915,1,1,21,0,1,1
916,1,0,48,1,3,1
917,3,1,50,1,0,1
918,1,0,22,0,1,1
919,3,1,22.5,0,0,1
920,1,1,41,0,0,1
921,3,1,30,2,0,1
922,2,1,50,1,0,1
923,2,1,24,2,0,1
924,3,0,33,1,2,1
925,3,0,30,1,2,1
926,1,1,30,1,0,1
927,3,1,18.5,0,0,1
928,3,0,30,0,0,1
929,3,0,21,0,0,1
930,3,1,25,0,0,1
931,3,1,30,0,0,1
932,3,1,39,0,1,1
933,1,1,30,0,0,1
934,3,1,41,0,0,1
935,2,0,30,0,0,1
936,1,0,45,1,0,1
937,3,1,25,0,0,1
938,1,1,45,0,0,1
939,3,1,30,0,0,1
940,1,0,60,0,0,1
941,3,0,36,0,2,1
942,1,1,24,1,0,1
943,2,1,27,0,0,1
944,2,0,20,2,1,1
945,1,0,28,3,2,1
946,2,1,30,0,0,1
947,3,1,10,4,1,1
948,3,1,35,0,0,1
949,3,1,25,0,0,1
950,3,1,30,1,0,1
951,1,0,36,0,0,1
952,3,1,17,0,0,1
953,2,1,32,0,0,1
954,3,1,18,0,0,1
955,3,0,22,0,0,1
956,1,1,13,2,2,1
957,2,0,30,0,0,1
958,3,0,18,0,0,1
959,1,1,47,0,0,1
960,1,1,31,0,0,1
961,1,0,60,1,4,1
962,3,0,24,0,0,1
963,3,1,21,0,0,1
964,3,0,29,0,0,1
965,1,1,28.5,0,0,1
966,1,0,35,0,0,1
967,1,1,32.5,0,0,1
968,3,1,30,0,0,1
969,1,0,55,2,0,1
970,2,1,30,0,0,1
971,3,0,24,0,0,1
972,3,1,6,1,1,1
973,1,1,67,1,0,1
974,1,1,49,0,0,1
975,3,1,30,0,0,1
976,2,1,30,0,0,1
977,3,1,30,1,0,1
978,3,0,27,0,0,1
979,3,0,18,0,0,1
980,3,0,30,0,0,1
981,2,1,2,1,1,1
982,3,0,22,1,0,1
983,3,1,30,0,0,1
984,1,0,27,1,2,1
985,3,1,30,0,0,1
986,1,1,25,0,0,1
987,3,1,25,0,0,1
988,1,0,76,1,0,1
989,3,1,29,0,0,1
990,3,0,20,0,0,1
991,3,1,33,0,0,1
992,1,0,43,1,0,1
993,2,1,27,1,0,1
994,3,1,30,0,0,1
995,3,1,26,0,0,1
996,3,0,16,1,1,1
997,3,1,28,0,0,1
998,3,1,21,0,0,1
999,3,1,30,0,0,1
1000,3,1,30,0,0,1
1001,2,1,18.5,0,0,1
1002,2,1,41,0,0,1
1003,3,0,30,0,0,1
1004,1,0,36,0,0,1
1005,3,0,18.5,0,0,1
1006,1,0,63,1,0,1
1007,3,1,18,1,0,1
1008,3,1,30,0,0,1
1009,3,0,1,1,1,1
1010,1,1,36,0,0,1
1011,2,0,29,1,0,1
1012,2,0,12,0,0,1
1013,3,1,30,1,0,1
1014,1,0,35,1,0,1
1015,3,1,28,0,0,1
1016,3,1,30,0,0,1
1017,3,0,17,0,1,1
1018,3,1,22,0,0,1
1019,3,0,30,2,0,1
1020,2,1,42,0,0,1
1021,3,1,24,0,0,1
1022,3,1,32,0,0,1
1023,1,1,53,0,0,1
1024,3,0,30,0,4,1
1025,3,1,30,1,0,1
1026,3,1,43,0,0,1
1027,3,1,24,0,0,1
1028,3,1,26.5,0,0,1
1029,2,1,26,0,0,1
1030,3,0,23,0,0,1
1031,3,1,40,1,6,1
1032,3,0,10,5,2,1
1033,1,0,33,0,0,1
1034,1,1,61,1,3,1
1035,2,1,28,0,0,1
1036,1,1,42,0,0,1
1037,3,1,31,3,0,1
1038,1,1,30,0,0,1
1039,3,1,22,0,0,1
1040,1,1,30,0,0,1
1041,2,1,30,1,1,1
1042,1,0,23,0,1,1
1043,3,1,30,0,0,1
1044,3,1,60.5,0,0,1
1045,3,0,36,0,2,1
1046,3,1,13,4,2,1
1047,3,1,24,0,0,1
1048,1,0,29,0,0,1
1049,3,0,23,0,0,1
1050,1,1,42,0,0,1
1051,3,0,26,0,2,1
1052,3,0,30,0,0,1
1053,3,1,7,1,1,1
1054,2,0,26,0,0,1
1055,3,1,30,0,0,1
1056,2,1,41,0,0,1
1057,3,0,26,1,1,1
1058,1,1,48,0,0,1
1059,3,1,18,2,2,1
1060,1,0,30,0,0,1
1061,3,0,22,0,0,1
1062,3,1,30,0,0,1
1063,3,1,27,0,0,1
1064,3,1,23,1,0,1
1065,3,1,30,0,0,1
1066,3,1,40,1,5,1
1067,2,0,15,0,2,1
1068,2,0,20,0,0,1
1069,1,1,54,1,0,1
1070,2,0,36,0,3,1
1071,1,0,64,0,2,1
1072,2,1,30,0,0,1
1073,1,1,37,1,1,1
1074,1,0,18,1,0,1
1075,3,1,30,0,0,1
1076,1,0,27,1,1,1
1077,2,1,40,0,0,1
1078,2,0,21,0,1,1
1079,3,1,17,2,0,1
1080,3,0,30,8,2,1
1081,2,1,40,0,0,1
1082,2,1,34,1,0,1
1083,1,1,30,0,0,1
1084,3,1,11.5,1,1,1
1085,2,1,61,0,0,1
1086,2,1,8,0,2,1
1087,3,1,33,0,0,1
1088,1,1,6,0,2,1
1089,3,0,18,0,0,1
1090,2,1,23,0,0,1
1091,3,0,30,0,0,1
1092,3,0,30,0,0,1
1093,3,1,0.33,0,2,1
1094,1,1,47,1,0,1
1095,2,0,8,1,1,1
1096,2,1,25,0,0,1
1097,1,1,30,0,0,1
1098,3,0,35,0,0,1
1099,2,1,24,0,0,1
1100,1,0,33,0,0,1
1101,3,1,25,0,0,1
1102,3,1,32,0,0,1
1103,3,1,30,0,0,1
1104,2,1,17,0,0,1
1105,2,0,60,1,0,1
1106,3,0,38,4,2,1
1107,1,1,42,0,0,1
1108,3,0,30,0,0,1
1109,1,1,57,1,1,1
1110,1,0,50,1,1,1
1111,3,1,30,0,0,1
1112,2,0,30,1,0,1
1113,3,1,21,0,0,1
1114,2,0,22,0,0,1
1115,3,1,21,0,0,1
1116,1,0,53,0,0,1
1117,3,0,30,0,2,1
1118,3,1,23,0,0,1
1119,3,0,30,0,0,1
1120,3,1,40.5,0,0,1
1121,2,1,36,0,0,1
1122,2,1,14,0,0,1
1123,1,0,21,0,0,1
1124,3,1,21,1,0,1
1125,3,1,30,0,0,1
1126,1,1,39,1,0,1
1127,3,1,20,0,0,1
1128,1,1,64,1,0,1
1129,3,1,20,0,0,1
1130,2,0,18,1,1,1
1131,1,0,48,1,0,1
1132,1,0,55,0,0,1
1133,2,0,45,0,2,1
1134,1,1,45,1,1,1
1135,3,1,30,0,0,1
1136,3,1,30,1,2,1
1137,1,1,41,1,0,1
1138,2,0,22,0,0,1
1139,2,1,42,1,1,1
1140,2,0,29,1,0,1
1141,3,0,30,1,0,1
1142,2,0,0.92,1,2,1
1143,3,1,20,0,0,1
1144,1,1,27,1,0,1
1145,3,1,24,0,0,1
1146,3,1,32.5,0,0,1
1147,3,1,30,0,0,1
1148,3,1,30,0,0,1
1149,3,1,28,0,0,1
1150,2,0,19,0,0,1
1151,3,1,21,0,0,1
1152,3,1,36.5,1,0,1
1153,3,1,21,0,0,1
1154,2,0,29,0,2,1
1155,3,0,1,1,1,1
1156,2,1,30,0,0,1
1157,3,1,30,0,0,1
1158,1,1,30,0,0,1
1159,3,1,30,0,0,1
1160,3,0,30,0,0,1
1161,3,1,17,0,0,1
1162,1,1,46,0,0,1
1163,3,1,30,0,0,1
1164,1,0,26,1,0,1
1165,3,0,30,1,0,1
1166,3,1,30,0,0,1
1167,2,0,20,1,0,1
1168,2,1,28,0,0,1
1169,2,1,40,1,0,1
1170,2,1,30,1,0,1
1171,2,1,22,0,0,1
1172,3,0,23,0,0,1
1173,3,1,0.75,1,1,1
1174,3,0,30,0,0,1
1175,3,0,9,1,1,1
1176,3,0,2,1,1,1
1177,3,1,36,0,0,1
1178,3,1,30,0,0,1
1179,1,1,24,1,0,1
1180,3,1,30,0,0,1
1181,3,1,30,0,0,1
1182,1,1,30,0,0,1
1183,3,0,30,0,0,1
1184,3,1,30,0,0,1
1185,1,1,53,1,1,1
1186,3,1,36,0,0,1
1187,3,1,26,0,0,1
1188,2,0,1,1,2,1
1189,3,1,30,2,0,1
1190,1,1,30,0,0,1
1191,3,1,29,0,0,1
1192,3,1,32,0,0,1
1193,2,1,30,0,0,1
1194,2,1,43,0,1,1
1195,3,1,24,0,0,1
1196,3,0,30,0,0,1
1197,1,0,64,1,1,1
1198,1,1,30,1,2,1
1199,3,1,0.83,0,1,1
1200,1,1,55,1,1,1
1201,3,0,45,1,0,1
1202,3,1,18,0,0,1
1203,3,1,22,0,0,1
1204,3,1,30,0,0,1
1205,3,0,37,0,0,1
1206,1,0,55,0,0,1
1207,3,0,17,0,0,1
1208,1,1,57,1,0,1
1209,2,1,19,0,0,1
1210,3,1,27,0,0,1
1211,2,1,22,2,0,1
1212,3,1,26,0,0,1
1213,3,1,25,0,0,1
1214,2,1,26,0,0,1
1215,1,1,33,0,0,1
1216,1,0,39,0,0,1
1217,3,1,23,0,0,1
1218,2,0,12,2,1,1
1219,1,1,46,0,0,1
1220,2,1,29,1,0,1
1221,2,1,21,0,0,1
1222,2,0,48,0,2,1
1223,1,1,39,0,0,1
1224,3,1,30,0,0,1
1225,3,0,19,1,1,1
1226,3,1,27,0,0,1
1227,1,1,30,0,0,1
1228,2,1,32,0,0,1
1229,3,1,39,0,2,1
1230,2,1,25,0,0,1
1231,3,1,30,0,0,1
1232,2,1,18,0,0,1
1233,3,1,32,0,0,1
1234,3,1,30,1,9,1
1235,1,0,58,0,1,1
1236,3,1,30,1,1,1
1237,3,0,16,0,0,1
1238,2,1,26,0,0,1
1239,3,0,38,0,0,1
1240,2,1,24,0,0,1
1241,2,0,31,0,0,1
1242,1,0,45,0,1,1
1243,2,1,25,0,0,1
1244,2,1,18,0,0,1
1245,2,1,49,1,2,1
1246,3,0,0.17,1,2,1
1247,1,1,50,0,0,1
1248,1,0,59,2,0,1
1249,3,1,30,0,0,1
1250,3,1,30,0,0,1
1251,3,0,30,1,0,1
1252,3,1,14.5,8,2,1
1253,2,0,24,1,1,1
1254,2,0,31,0,0,1
1255,3,1,27,0,0,1
1256,1,0,25,1,0,1
1257,3,0,30,1,9,1
1258,3,1,30,1,0,1
1259,3,0,22,0,0,1
1260,1,0,45,0,1,1
1261,2,1,29,0,0,1
1262,2,1,21,1,0,1
1263,1,0,31,0,0,1
1264,1,1,49,0,0,1
1265,2,1,44,0,0,1
1266,1,0,54,1,1,1
1267,1,0,45,0,0,1
1268,3,0,22,2,0,1
1269,2,1,21,0,0,1
1270,1,1,55,0,0,1
1271,3,1,5,4,2,1
1272,3,1,30,0,0,1
1273,3,1,26,0,0,1
1274,3,0,30,0,0,1
1275,3,0,19,1,0,1
1276,2,1,30,0,0,1
1277,2,0,24,1,2,1
1278,3,1,24,0,0,1
1279,2,1,57,0,0,1
1280,3,1,21,0,0,1
1281,3,1,6,3,1,1
1282,1,1,23,0,0,1
1283,1,0,51,0,1,1
1284,3,1,13,0,2,1
1285,2,1,47,0,0,1
1286,3,1,29,3,1,1
1287,1,0,18,1,0,1
1288,3,1,24,0,0,1
1289,1,0,48,1,1,1
1290,3,1,22,0,0,1
1291,3,1,31,0,0,1
1292,1,0,30,0,0,1
1293,2,1,38,1,0,1
1294,1,0,22,0,1,1
1295,1,1,17,0,0,1
1296,1,1,43,1,0,1
1297,2,1,20,0,0,1
1298,2,1,23,1,0,1
1299,1,1,50,1,1,1
1300,3,0,30,0,0,1
1301,3,0,3,1,1,1
1302,3,0,30,0,0,1
1303,1,0,37,1,0,1
1304,3,0,28,0,0,1
1305,3,1,30,0,0,1
1306,1,0,39,0,0,1
1307,3,1,38.5,0,0,1
1308,3,1,30,0,0,1
1309,3,1,30,1,1,1
